Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
4/12/2022,Antonios Sykaris,Greece,Illness,"28.6985° N, 83.4873° E",7
9/27/2018,Dawa Gyaljen Sherpa,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
4/30/2018,Simone La Terra,Italy,Storm,"28.6985° N, 83.4873° E",7
5/20/2017,Ang Ngima Sherpa,Nepal,Fall,"28.6985° N, 83.4873° E",7
5/19/2016,Rajib Bhattacharya,India,Altitude sickness,"28.6985° N, 83.4873° E",7
5/16/2016,Christiaan Johan Wilson,Netherlands,Disappeared,"28.6985° N, 83.4873° E",7
10/15/2014,Ján Matlák,Slovakia,Avalanche,"28.6985° N, 83.4873° E",7
10/15/2014,Vladimír Švancár,Slovakia,Avalanche,"28.6985° N, 83.4873° E",7
10/15/2014,Bhoj Kumar Rai,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
10/15/2014,Gopal Rai,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
10/15/2014,Dorje Sherpa,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
5/26/2013,Juanjo Garra,Spain,Fall,"28.6985° N, 83.4873° E",7
5/23/2013,Chizuko Kono,Japan,Exhaustion,"28.6985° N, 83.4873° E",7
5/23/2013,Dawa Sherpa,Nepal,Disappeared,"28.6985° N, 83.4873° E",7
9/28/2010,Daisuke Honda,Japan,Avalanche,"28.6985° N, 83.4873° E",7
9/28/2010,Osamu Tanabe,Japan,Avalanche,"28.6985° N, 83.4873° E",7
9/28/2010,Pasang Gyelu,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
9/28/2010,Toshio Yamamoto,Japan,Avalanche,"28.6985° N, 83.4873° E",7
5/13/2010,Zhao Liang,China,Fall,"28.6985° N, 83.4873° E",7
5/13/2010,Li Bin,China,Cold/ Exhaustion,"28.6985° N, 83.4873° E",7
5/13/2010,Han Xin,China,Fall,"28.6985° N, 83.4873° E",7
5/1/2009,Mehdi Etemad Far,Iran,Fall,"28.6985° N, 83.4873° E",7
4/8/2009,Piotr Morawski,Poland,Fall into crevasse,"28.6985° N, 83.4873° E",7
5/5/2008,Rafael Guillén,Spain,Fall,"28.6985° N, 83.4873° E",7
5/5/2008,Darío Bracali,Argentina,Disappeared,"28.6985° N, 83.4873° E",7
5/12/2007,Santiago Sagaste,Spain,Avalanche,"28.6985° N, 83.4873° E",7
5/12/2007,Ricardo Valencia,Spain,Avalanche,"28.6985° N, 83.4873° E",7
4/30/2007,Sergio Dalla Longa,Italy,Fall,"28.6985° N, 83.4873° E",7
10/14/2001,Yukihiko Shinagawa,Japan,Disappeared,"28.6985° N, 83.4873° E",7
10/14/2001,Ryushi Hoshino,Japan,Disappeared,"28.6985° N, 83.4873° E",7
10/14/2001,Masashi Fukumoto,Japan,Disappeared,"28.6985° N, 83.4873° E",7
10/11/2001,Jose Antonio Garces,Spain,Fall,"28.6985° N, 83.4873° E",7
10/7/2000,Gyalzen Chuldim,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
9/29/2000,Soo-ho Lee,South Korea,Avalanche,"28.6985° N, 83.4873° E",7
10/24/1999,Ginette Harrison,United Kingdom,Avalanche,"28.6985° N, 83.4873° E",7
10/24/1999,Dawa Dorje,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
10/2/1998,Charalampos (Babis) Tsoupras,Greece,Fall,"28.6985° N, 83.4873° E",7
5/11/1998,Chantal Mauduit,France,Avalanche,"28.6985° N, 83.4873° E",7
5/11/1998,Ang Tshering,Nepal,Avalanche,"28.6985° N, 83.4873° E",7
5/1/1998,Nikos Papandreou,Greece,Fall,"28.6985° N, 83.4873° E",7
10/6/1995,Isayoshi Tawaraya,Japan,Disappeared,"28.6985° N, 83.4873° E",7
