Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
7/25/2015,Aleksander Ostrowski,Poland,Avalanche,35°45′30″N 76°39′12″E,13
7/22/2011,Leila Esfandyari,Iran,Fall on descent,35°45′30″N 76°39′12″E,13
7/21/2009,Luis María Barbero,Spain,Disappeared,35°45′30″N 76°39′12″E,13
7/18/2007,Ernst-Robert Zauner,Germany,Avalanche,35°45′30″N 76°39′12″E,13
7/18/2007,Arne Heckele,Germany,Avalanche,35°45′30″N 76°39′12″E,13
7/3/2007,Ulrike Gschwandtner,Austria,Heart Failure,35°45′30″N 76°39′12″E,13
7/20/2001,Jean-François Bassine,Belgium,Fall,35°45′30″N 76°39′12″E,13
7/28/2000,Felix Iñurrategui,Spain,Fall,35°45′30″N 76°39′12″E,13
7/13/1989,Antton Ibarguren,Spain,Fall,35°45′30″N 76°39′12″E,13
7/9/1988,Gary Silver,United States,Illness,35°45′30″N 76°39′12″E,13
7/6/1988,Michel Basson,France,Pulmonary Edema,35°45′30″N 76°39′12″E,13
6/25/1988,Henri Albet,France,Fall on snowboard,35°45′30″N 76°39′12″E,13
6/29/1987,Jean-Pierre Hefti,Switzerland,Fall,35°45′30″N 76°39′12″E,13
7/12/1986,Carlos Rabago,Spain,Illness,35°45′30″N 76°39′12″E,13
7/11/1985,Pierre Bouygues,France,Illness,35°45′30″N 76°39′12″E,13
6/24/1985,Toru Nakano,Japan,Fall,35°45′30″N 76°39′12″E,13
7/15/1982,Norbert Wolf,Austria,Cold,35°45′30″N 76°39′12″E,13
7/15/1982,Gerhard Gruner,West Germany,Disappeared,35°45′30″N 76°39′12″E,13
7/2/1982,Glenn Brindeiro,United States,Avalanche,35°45′30″N 76°39′12″E,13
6/1/1976,Osamu Matsuura,Japan,Exhaustion,35°45′30″N 76°39′12″E,13
5/27/1976,Yoshinori Hiramatsu,Japan,Fall,35°45′30″N 76°39′12″E,13
5/27/1976,Taketoshi Miyamoto,Japan,Fall,35°45′30″N 76°39′12″E,13
6/30/1975,Bernard Villaret,France,Exhaustion,35°45′30″N 76°39′12″E,13
