Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/6/2022,Narayanan Iyer,India,Illness,"27.7025° N, 88.1475° E",3
5/15/2019,Biplab Baidya,India,Hypothermia,"27.7025° N, 88.1475° E",3
5/15/2019,Kuntal Kanrar,India,Hypothermia,"27.7025° N, 88.1475° E",3
5/15/2019,Rodrigo Vivanco,Chile,Missing,"27.7025° N, 88.1475° E",3
5/20/2014,Chhanda Gayen,India,Fall on descent,"27.7025° N, 88.1475° E",3
5/20/2014,Migma Temba,Nepal,Fall on descent,"27.7025° N, 88.1475° E",3
5/20/2014,Dewa Wangchu,Nepal,Fall on descent,"27.7025° N, 88.1475° E",3
5/21/2013,Bibash Gurung Sherpa,Nepal,Fall,"27.7025° N, 88.1475° E",3
5/21/2013,Pho Dorchi Sherpa,Nepal,Fall,"27.7025° N, 88.1475° E",3
5/21/2013,Park-nam Su,South Korea,Fall,"27.7025° N, 88.1475° E",3
5/21/2013,Péter Kiss,Hungary,Fall on descent,"27.7025° N, 88.1475° E",3
5/21/2013,Zsolt Erőss,Hungary,Disappeared,"27.7025° N, 88.1475° E",3
5/25/2007,Iñigo de Pineda,Spain,Fall,"27.7025° N, 88.1475° E",3
5/24/2002,Christopher Grasswick,Canada,Fall,"27.7025° N, 88.1475° E",3
1/23/2000,Ang Dawa Tamang,Nepal,Hit by ice block,"27.7025° N, 88.1475° E",3
9/14/1999,Myeong-kun Hyun,South Korea,Avalanche,"27.7025° N, 88.1475° E",3
9/15/1999,Do-kyu Han,South Korea,Avalanche,"27.7025° N, 88.1475° E",3
5/16/1998,Atsushi Shiina,Japan,HACE,"27.7025° N, 88.1475° E",3
5/17/1998,Kenzo Akasaka,Japan,Exhaustion,"27.7025° N, 88.1475° E",3
10/6/1995,Benoît Chamoux,France,Disappeared,"27.7025° N, 88.1475° E",3
10/6/1995,Pierre Royer,France,Disappeared,"27.7025° N, 88.1475° E",3
10/6/1995,Sherpa Riku,Nepal,Fall,"27.7025° N, 88.1475° E",3
8/23/1994,Yordanka Dimitrova,Bulgaria,Disappeared,"27.7025° N, 88.1475° E",3
8/10/1994,Sergei Zhvirblya,Belarus,Avalanche,"27.7025° N, 88.1475° E",3
8/10/1994,Ekaterina Ivanova,Russia,Avalanche,"27.7025° N, 88.1475° E",3
5/13/1992,Wanda Rutkiewicz,Poland,Disappeared,"27.7025° N, 88.1475° E",3
4/25/1992,Ang Dorje,Nepal,Suffocation,"27.7025° N, 88.1475° E",3
4/25/1992,Lhakpa Nuru,Nepal,Suffocation,"27.7025° N, 88.1475° E",3
5/16/1991,Pasang II,India,Fall,"27.7025° N, 88.1475° E",3
5/3/1991,Jože Rozman,Yugoslavia,Fall,"27.7025° N, 88.1475° E",3
5/3/1991,Marija Frantar,Yugoslavia,Fall,"27.7025° N, 88.1475° E",3
12/20/1989,Tchiring Chumbi Lama,Nepal,Fall,"27.7025° N, 88.1475° E",3
12/20/1989,Ang Dawa,Nepal,Fall,"27.7025° N, 88.1475° E",3
12/20/1989,Kyo-sup Jin,South Korea,Fall,"27.7025° N, 88.1475° E",3
5/17/1988,Sanjay Borole,India,Hypothermia,"27.7025° N, 88.1475° E",3
5/31/1987,Chander Singh,India,Fall,"27.7025° N, 88.1475° E",3
5/5/1987,Chorten Tshering,India,Disappeared,"27.7025° N, 88.1475° E",3
5/6/1987,Phu Pu Bhutia,India,Disappeared,"27.7025° N, 88.1475° E",3
5/7/1987,Phu Dorje II,India,Disappeared,"27.7025° N, 88.1475° E",3
1/11/1986,Andrzej Czok,Poland,Pulmonary edema,"27.7025° N, 88.1475° E",3
4/22/1985,Borut Bergant,Yugoslavia,Fall,"27.7025° N, 88.1475° E",3
1/14/1985,Chris Chandler,United States,HACE,"27.7025° N, 88.1475° E",3
10/15/1981,Jean-Jacques Ricouard,France,Fall,"27.7025° N, 88.1475° E",3
5/4/1980,Alfonso Medina,Mexico,Disappeared,"27.7025° N, 88.1475° E",3
5/4/1980,Hugo Saldaña,Mexico,Disappeared,"27.7025° N, 88.1475° E",3
4/12/1977,Sukhvinder Singh,India,Fall,"27.7025° N, 88.1475° E",3
5/15/1973,Takeo Matsuda,Japan,Hit by rock,"27.7025° N, 88.1475° E",3
5/26/1955,Pemi Dorje,India,Fall,"27.7025° N, 88.1475° E",3
8/9/1931,Hermann Schaller,Germany,Fall,"27.7025° N, 88.1475° E",3
8/9/1931,Pasang 1,India,Fall,"27.7025° N, 88.1475° E",3
8/1/1931,Babu Lall,India,Illness,"27.7025° N, 88.1475° E",3
7/1/1931,Lobsang,India,Illness,"27.7025° N, 88.1475° E",3
5/9/1930,Chettan,India,Avalanche,"27.7025° N, 88.1475° E",3
5/27/1929,Edgar Farmer,United States,Disappeared,"27.7025° N, 88.1475° E",3
9/1/1905,three unnamed others,India,Fall,"27.7025° N, 88.1475° E",3
9/1/1905,Alexis Pache,Switzerland,Fall,"27.7025° N, 88.1475° E",3
8/28/1905,unnamed porter,India,Fall,"27.7025° N, 88.1475° E",3
