Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/17/2019,Ivan Tomov,Bulgaria,HACE,"27.9626° N, 86.9336° E",4
5/17/2018,Rustem Amirov,Russia,Altitude sickness,"27.9626° N, 86.9336° E",4
5/19/2016,Ang Furba Sherpa,Nepal,Fall,"27.9626° N, 86.9336° E",4
4/27/2015,Hiroshi Yamagata,Japan,Avalanche,"27.9626° N, 86.9336° E",4
4/25/2015,Zhen-Fang Ge,China,Avalanche,"27.9626° N, 86.9336° E",4
4/18/2014,Asman Tamang,Nepal,Avalanche,"27.9626° N, 86.9336° E",4
5/20/2013,Hsiao-Shih Lee,Taiwan,Altitude sickness,"27.9626° N, 86.9336° E",4
10/16/2012,Temba Sherpa,Nepal,Fall,"27.9626° N, 86.9336° E",4
5/21/2012,Milan Sedláček,Czech Republic,Exhaustion,"27.9626° N, 86.9336° E",4
5/7/2010,Sergey Duganov,Russia,Altitude sickness,"27.9626° N, 86.9336° E",4
5/25/2009,Sergey Samoilov,Kazakhstan,Fall,"27.9626° N, 86.9336° E",4
5/21/2007,Pemba Doma,Nepal,Fall,"27.9626° N, 86.9336° E",4
5/9/2006,Pavel Kalný,Czech Republic,Fall,"27.9626° N, 86.9336° E",4
10/5/2003,Sun-dug Hwang,South Korea,Avalanche,"27.9626° N, 86.9336° E",4
10/5/2003,Joo-hoon Park,South Korea,Avalanche,"27.9626° N, 86.9336° E",4
9/17/2000,Vladimir Bondarev,Russia,Avalanche,"27.9626° N, 86.9336° E",4
5/27/1997,Vladimir Bashkirov,Russia,Illness,"27.9626° N, 86.9336° E",4
10/24/1989,Jerzy Kukuczka,Poland,Fall,"27.9626° N, 86.9336° E",4
9/27/1987,Antoni (Toni) Sors,Spain,Avalanche,"27.9626° N, 86.9336° E",4
9/27/1987,Sergio Escalera,Spain,Avalanche,"27.9626° N, 86.9336° E",4
9/27/1987,Francesc Porras,Spain,Avalanche,"27.9626° N, 86.9336° E",4
9/27/1987,Antonio Quiñones,Spain,Avalanche,"27.9626° N, 86.9336° E",4
9/14/1987,Czesław Jakiel,Poland,Avalanche,"27.9626° N, 86.9336° E",4
10/30/1986,Pedro Alonso,Spain,Fall,"27.9626° N, 86.9336° E",4
10/25/1985,Rafał Chołda,Poland,Fall,"27.9626° N, 86.9336° E",4
10/16/1981,Philippe Petten,Switzerland,Disappeared,"27.9626° N, 86.9336° E",4
10/16/1981,Pierre Favez,Switzerland,Disappeared,"27.9626° N, 86.9336° E",4
5/17/1980,Pasang Nima,Nepal,Avalanche,"27.9626° N, 86.9336° E",4
4/28/1980,Nicolas Jaeger,France,Disappeared,"27.9626° N, 86.9336° E",4
5/12/1977,Max Lutz,West Germany,Fall,"27.9626° N, 86.9336° E",4
12/17/1974,Stanislaw Latałło,Poland,Exhaustion,"27.9626° N, 86.9336° E",4
