Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/24/2019,Nima Tshering Sherpa,Nepal,Unknown,"27.7400° N, 87.1500° E",5
5/16/2019,Dipankar Ghos,India,Disappeared,"27.7400° N, 87.1500° E",5
5/16/2019,Narayan Singh,India,Altitude sickness,"27.7400° N, 87.1500° E",5
5/8/2019,Richard Hidalgo,Peru,Unknown,"27.7400° N, 87.1500° E",5
5/14/2018,Ang Dawa Sherpa,Nepal,Altitude sickness,"27.7400° N, 87.1500° E",5
5/11/2016,Lakpa Sherpa,Nepal,Lack of oxygen,"27.7400° N, 87.1500° E",5
5/11/2016,Dawa Tenji Sherpa,Nepal,Lack of oxygen,"27.7400° N, 87.1500° E",5
5/2/2014,Yannick Gagneret,France,HACE,"27.7400° N, 87.1500° E",5
4/24/2013,Liu Xiang-Yang,China,Fall on the descent,"27.7400° N, 87.1500° E",5
5/22/2011,Joëlle Brupbacher,Switzerland,Altitude sickness,"27.7400° N, 87.1500° E",5
5/30/2010,Zaharias (Haris) Kiriakakis,Greece,Disappeared,"27.7400° N, 87.1500° E",5
5/24/2009,Sangat Ram Thakur,India,Illness,"27.7400° N, 87.1500° E",5
5/20/2008,Nil Prasad Gurung,Nepal,Altitude sickness,"27.7400° N, 87.1500° E",5
4/24/2008,Drabey Bahadur Rajan Mongar,Nepal,Fall,"27.7400° N, 87.1500° E",5
1/27/2006,Jean-Christophe Lafaille,France,Disappeared,"27.7400° N, 87.1500° E",5
5/15/2005,Sumba Sherpa,Nepal,Altitude sickness,"27.7400° N, 87.1500° E",5
5/18/2004,Jay Sieger,United States,Fall,"27.7400° N, 87.1500° E",5
5/17/2004,Vladislav Terzyul,Ukraine,Fall,"27.7400° N, 87.1500° E",5
4/25/2002,Raymond Caughron,United States,Exhaustion,"27.7400° N, 87.1500° E",5
5/14/2001,Eric Resch,Australia,Disappeared,"27.7400° N, 87.1500° E",5
5/16/2000,Bernd Mehnert,Germany,Pulmonary embolism,"27.7400° N, 87.1500° E",5
10/11/1999,Sange Sherpa,Nepal,Avalanche,"27.7400° N, 87.1500° E",5
4/30/1999,Michael Knakkergaard-Jørgensen,Denmark,Fall,"27.7400° N, 87.1500° E",5
10/13/1997,Per Lyhne,Denmark,Illness,"27.7400° N, 87.1500° E",5
5/24/1997,Igor Bugachevski,Russia,Rockfall,"27.7400° N, 87.1500° E",5
5/21/1997,Salavat Khabibullin,Russia,Exhaustion,"27.7400° N, 87.1500° E",5
5/14/1996,Anatoli Chlekht,Russia,Fall,"27.7400° N, 87.1500° E",5
5/8/1995,David Hume,Australia,Fall,"27.7400° N, 87.1500° E",5
10/8/1991,Takumi Ishizaka,Japan,Exhaustion,"27.7400° N, 87.1500° E",5
10/2/1991,Manuel (Manu) Badiola,Spain,Fall,"27.7400° N, 87.1500° E",5
10/14/1988,Ryszard Kołakowski,Poland,Disappearance,"27.7400° N, 87.1500° E",5
9/25/1986,Marcel Rüedi,Switzerland,Exhaustion,"27.7400° N, 87.1500° E",5
9/13/1984,Ram Bahadur Shresta,Nepal,Pulmonary edema,"27.7400° N, 87.1500° E",5
10/15/1983,Mark Moorhead,Australia,Fall,"27.7400° N, 87.1500° E",5
10/3/1983,William Denz,New Zealand,Avalanche,"27.7400° N, 87.1500° E",5
9/26/1982,Tadeusz Szulc,Poland,Illness,"27.7400° N, 87.1500° E",5
10/6/1978,Andrzej Młynarczyk,Poland,Avalanche,"27.7400° N, 87.1500° E",5
5/25/1976,Karel Schubert,Czechoslovakia,Exhaustion,"27.7400° N, 87.1500° E",5
5/26/1973,Jan Kounický,Czechoslovakia,Fall,"27.7400° N, 87.1500° E",5
9/26/1954,Dilli Bahadur Verma,Nepal,Pneumonia,"27.7400° N, 87.1500° E",5
