Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
9/29/2021,Brent Seal,Canada,Stroke,"28.5497° N, 84.5597° E",8
9/28/2019,Rita Bladyko,Poland,Altitude sickness,"28.5497° N, 84.5597° E",8
9/29/2018,Roman Hlávko,Czech Republic,Fall,"28.5497° N, 84.5597° E",8
9/8/2018,Hiromi Komatsu,Japan,Rescue helicopter crash,"28.5497° N, 84.5597° E",8
9/25/2017,Philip Harvey,United Kingdom,Altitude sickness,"28.5497° N, 84.5597° E",8
10/26/2016,Hirotaka Onodera,Japan,Fall,"28.5497° N, 84.5597° E",8
10/1/2015,Zoltan Benedek,Austria,Altitude sickness,"28.5497° N, 84.5597° E",8
9/26/2014,Yoshimasa Sasaki,Japan,Fall,"28.5497° N, 84.5597° E",8
10/4/2012,Victor Correa,Colombia,Disappeared,"28.5497° N, 84.5597° E",8
9/23/2012,Dominique Ouimet,Canada,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Gregory Ugo Costa,France,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Alberto Magliano,Italy,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Catherine Ricard,France,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Christian Mittermeyer,Germany,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Dawa Dorji Sherpa,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Fabrice Priez,France,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Ludovic Challeat,France,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Marti Roig Gasull,Spain,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Phillippe Lucien Bos,France,Avalanche,"28.5497° N, 84.5597° E",8
9/23/2012,Rémy Lécluse,France,Avalanche,"28.5497° N, 84.5597° E",8
5/11/2012,Jafar Naseri,Iran,Disappeared,"28.5497° N, 84.5597° E",8
5/12/2011,Tashi Chhiring,Nepal,Disappeared,"28.5497° N, 84.5597° E",8
5/12/2011,Bernard Jean Francois Milian,France,Disappeared,"28.5497° N, 84.5597° E",8
5/12/2011,Alain Peirre Marie Laurens,France,Disappeared,"28.5497° N, 84.5597° E",8
4/29/2011,Eisa Mir-Shekari,Iran,Altitude sickness,"28.5497° N, 84.5597° E",8
9/24/2010,Nobuaki Kuwabara,Japan,Illness,"28.5497° N, 84.5597° E",8
4/24/2010,Chi-won Yun,South Korea,Disappeared,"28.5497° N, 84.5597° E",8
4/24/2010,Haeng-su Park,South Korea,Exhaustion,"28.5497° N, 84.5597° E",8
10/3/2009,Franc Oderlap,Slovenia,Hit by falling seracs,"28.5497° N, 84.5597° E",8
5/19/2009,Levente Szabó,Hungary,Fall,"28.5497° N, 84.5597° E",8
4/28/2009,Giuseppe Antonelli,Italy,Illness,"28.5497° N, 84.5597° E",8
10/5/2008,Daniel Goulevitch,France,Altitude sickness,"28.5497° N, 84.5597° E",8
5/13/2008,Hasta Bahadur Gurung,Nepal,Illness,"28.5497° N, 84.5597° E",8
5/28/2006,Susan Erica Fear,Australia,Fall in crevasse,"28.5497° N, 84.5597° E",8
10/13/2001,Isao Kuribara,Nepal,Altitude sickness,"28.5497° N, 84.5597° E",8
10/30/1998,Hristo Stantchev,Bulgaria,Fall,"28.5497° N, 84.5597° E",8
10/26/1998,Lenin Granados,Colombia,Avalanche,"28.5497° N, 84.5597° E",8
10/9/1997,Miroslav Rybansky,Slovakia,Collapsed,"28.5497° N, 84.5597° E",8
10/8/1997,Juraj Kardhordo,Slovakia,Disappeared,"28.5497° N, 84.5597° E",8
10/1/1996,Masatsugu Konishi,Japan,Disappeared,"28.5497° N, 84.5597° E",8
5/7/1995,Michael Zunk,Germany,Fall,"28.5497° N, 84.5597° E",8
5/6/1995,Jörg Starke,Germany,Fall,"28.5497° N, 84.5597° E",8
10/22/1993,Sergei Jadrychnikov,Russia,Avalanche,"28.5497° N, 84.5597° E",8
10/21/1993,Igor Khmiliar,Russia,Fall,"28.5497° N, 84.5597° E",8
10/3/1992,Sven Vermeiren,Belgium,Fall,"28.5497° N, 84.5597° E",8
10/2/1992,Sylwia Dmowska,Poland,Fall,"28.5497° N, 84.5597° E",8
5/10/1991,Karl Großrubatscher,Italy,Fall,"28.5497° N, 84.5597° E",8
5/10/1991,Gottfried Mutschlechner,Italy,Lightning,"28.5497° N, 84.5597° E",8
9/7/1990,Murat Galiev,Soviet Union,Fall,"28.5497° N, 84.5597° E",8
9/7/1990,Zinur Halitov,Soviet Union,Fall,"28.5497° N, 84.5597° E",8
9/7/1990,Grigory Lunjakov,Soviet Union,Fall,"28.5497° N, 84.5597° E",8
3/27/1990,Nima Wangchuk Sherpa,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
3/27/1990,Charles Schertz,United States,Avalanche,"28.5497° N, 84.5597° E",8
3/27/1990,Nancy Jackson,United States,Avalanche,"28.5497° N, 84.5597° E",8
5/7/1989,Santiago Suarez,Spain,Fall,"28.5497° N, 84.5597° E",8
10/28/1987,Ichigi Kudo,Japan,Fall,"28.5497° N, 84.5597° E",8
5/4/1986,Dieter Oberbichler,Austria,Fall,"28.5497° N, 84.5597° E",8
5/3/1986,Wilhelm Klaiber,West Germany,Disappeared,"28.5497° N, 84.5597° E",8
10/25/1985,Nima Norbu Sherpa,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
5/4/1985,Thomas Juen,Austria,Avalanche,"28.5497° N, 84.5597° E",8
12/11/1983,Stanisław Jaworski,Poland,Fall,"28.5497° N, 84.5597° E",8
4/24/1983,Ante Bućan,Yugoslavia,Avalanche,"28.5497° N, 84.5597° E",8
4/24/1983,Nejc Zaplotnik,Yugoslavia,Avalanche,"28.5497° N, 84.5597° E",8
12/18/1982,Takashi Sakuma,Japan,Exhaustion,"28.5497° N, 84.5597° E",8
5/10/1982,Pere Aymerich,Spain,Avalanche,"28.5497° N, 84.5597° E",8
5/10/1982,Enric Font,Spain,Avalanche,"28.5497° N, 84.5597° E",8
10/8/1979,Edgardo Jose Porsellana,Argentina,Avalanche,"28.5497° N, 84.5597° E",8
5/5/1974,Teiko Suzuki,Japan,Disappeared,"28.5497° N, 84.5597° E",8
4/26/1972,Andi Schlick,Austria,Disappeared,"28.5497° N, 84.5597° E",8
4/25/1972,Franz Jäger,Austria,Disappeared,"28.5497° N, 84.5597° E",8
4/10/1972,Wangel,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Rinsing Ongyal,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Phurba Tenzing,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Pemba Rinji,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Pasang Nima,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Gyalze,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Ang Tendi,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Ang Rita,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Ang Mingma,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Ang Mingma,Nepal,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Kazunari Yasuhisha,Japan,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Chang-hee Park,South Korea,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Sae-keon Oh,South Korea,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Joon-haeng Song,South Korea,Avalanche,"28.5497° N, 84.5597° E",8
4/10/1972,Ho-sup Kim,South Korea,Avalanche,"28.5497° N, 84.5597° E",8
5/4/1971,Ki-sup Kim,South Korea,Fall,"28.5497° N, 84.5597° E",8
