Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
2/24/2019,Daniele Nardi,Italy,Disappeared,"35.2375° N, 74.5891° E",9
2/24/2019,Tom Ballard,United Kingdom,Disappeared,"35.2375° N, 74.5891° E",9
1/28/2018,Tomasz Mackiewicz,Poland,Altitude Sickness,"35.2375° N, 74.5891° E",9
6/24/2017,Alberto Zerain,Spain,Avalanche,"35.2375° N, 74.5891° E",9
6/24/2017,Mariano Galvan,Argentina,Avalanche,"35.2375° N, 74.5891° E",9
6/22/2013,Igor Svergun,Ukraine,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Badawi Kashaev,Ukraine,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Dmitry Konyaev,Ukraine,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Rao Jianfeng,China,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Yang Chunfeng,China,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Honglu Chen,Chin,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Sona Sherpa,Nepal,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Ernestas Markšaitis,Lithuania,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Ali Hussain,Pakistan,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Anton Dobes,Slovakia,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
6/22/2013,Peter Sperka,Slovakia,Killed by Taliban at Diamir Base Camp,"35.2375° N, 74.5891° E",9
2/6/2013,Joel Wischnewski,France,Avalanche,"35.2375° N, 74.5891° E",9
7/11/2009,Mi-young Go,South Korea,Fall,"35.2375° N, 74.5891° E",9
7/10/2009,Wolfgang Kölblinger,Austria,Fall,"35.2375° N, 74.5891° E",9
7/17/2008,Saman Nemati,Iran,Disappeared,"35.2375° N, 74.5891° E",9
7/15/2008,Karl Unterkircher,Italy,Fell into crevasse,"35.2375° N, 74.5891° E",9
7/28/2006,Naohiro Ozawa,Japan,Disappeared,"35.2375° N, 74.5891° E",9
7/22/2006,José Antonio Delgado,Venezuela,Exposure,"35.2375° N, 74.5891° E",9
7/1/2004,Günter Jung,Germany,Fall,"35.2375° N, 74.5891° E",9
7/26/1998,Hideki Ohmiya,Japan,Fall,"35.2375° N, 74.5891° E",9
7/30/1997,Joan Colet,Spain,Fall on descent,"35.2375° N, 74.5891° E",9
6/20/1996,Răzvan Petcu,Romania,Avalanche,"35.2375° N, 74.5891° E",9
6/20/1996,Gabriel Stana,Romania,Avalanche,"35.2375° N, 74.5891° E",9
6/24/1994,Antonio Lopez,Spain,Fall,"35.2375° N, 74.5891° E",9
7/7/1993,Chun-moon Ahn,South Korea,Disappeared,"35.2375° N, 74.5891° E",9
8/18/1990,Osami Nakajima,Japan,Fall,"35.2375° N, 74.5891° E",9
7/3/1990,Chang-gi Park,South Korea,Fall into a crevasse,"35.2375° N, 74.5891° E",9
7/18/1989,Tetsuya Baba,Japan,Lightning,"35.2375° N, 74.5891° E",9
6/23/1989,Kwang-ho Kim,South Korea,Fall,"35.2375° N, 74.5891° E",9
7/10/1985,Piotr Kalmus,Poland,Avalanche,"35.2375° N, 74.5891° E",9
12/8/1984,Hiromi Kameda,Japan,Fall,"35.2375° N, 74.5891° E",9
7/7/1984,Fuji Tsunoda,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/7/1984,Shigeoh Hida,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/7/1984,Nobuyuki Imakyurei,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/7/1984,Takashi Kogure,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/12/1983,Nobuyoshi Yamada,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/12/1983,Yuichiro Takamori,Japan,Avalanche,"35.2375° N, 74.5891° E",9
7/12/1983,Satoshi Iida,Japan,Avalanche,"35.2375° N, 74.5891° E",9
6/17/1983,Kazuo Shimura,Japan,Fall,"35.2375° N, 74.5891° E",9
6/8/1982,Peter Hiltbrand,Switzerland,Altitude sickness,"35.2375° N, 74.5891° E",9
6/12/1982,Ali Sheikh,Pakistan,Fall,"35.2375° N, 74.5891° E",9
6/4/1982,Peter Forrer,Switzerland,Avalanche,"35.2375° N, 74.5891° E",9
4/28/1982,Matloob Hassan Nuri,Pakistan,Fall into crevasse,"35.2375° N, 74.5891° E",9
